uniprot_id	gene_symbol	hein2024_component	hein2024_gt_component	itzhak2016_component
Q9UKX7	NUP50	Nucleus	Nuclear pore complex	
Q7Z3B4	NUP54	Nucleus	Nuclear pore complex	Nuclear pore complex
Q9BVL2	NUP58	Endoplasmic reticulum	Nuclear pore complex	Nuclear pore complex
P37198	NUP62	Endoplasmic reticulum	Nuclear pore complex	Nuclear pore complex
Q9BW27	NUP85	Endoplasmic reticulum	Nuclear pore complex	Nuclear pore complex
Q99567	NUP88	Endoplasmic reticulum	Nuclear pore complex	Nuclear pore complex
Q8N1F7	NUP93	Nucleus	Nuclear pore complex	Nuclear pore complex
P52948	NUP98	Endoplasmic reticulum	Nuclear pore complex	Nuclear pore complex
Q96E22	NUS1	Endoplasmic reticulum		
Q9BXS6	NUSAP1	Nucleus	Nucleus	
P61970	NUTF2	Cytosol		
O15381	NVL	Nucleolus		
Q9UBU9	NXF1	Nucleus		
Q6DKJ4	NXN	Cytosol		
Q9UKK6	NXT1	Nucleus		
P04181	OAT	Mitochondrion		Mitochondrion
Q5W0B1	OBI1	Stress granule		
Q8TAD7	OCC1	Cell membrane		
Q9NX40	OCIAD1	Mitochondrion		
Q16625	OCLN	Cell membrane		
Q01968	OCRL	Early endosome		Endosome
Q5BJF6	ODF2	Centrosome	Centrosome	
Q5SWX8	ODR4	Endoplasmic reticulum	Endoplasmic reticulum	
O75665	OFD1	Centrosome	Centrosome	
O60502	OGA	Cytosol		
Q02218	OGDH	Mitochondrion	Mitochondrion	Mitochondrion
Q9ULD0	OGDHL	Mitochondrion	Mitochondrion	
Q8N543	OGFOD1	Cytosol		
Q6PK18	OGFOD3	Endoplasmic reticulum		
Q9NZT2	OGFR	Cytosol		
O15294	OGT	Mitochondrion		
Q9NTK5	OLA1	Cytosol		
Q96E52	OMA1	Mitochondrion		
O60313	OPA1	Mitochondrion	Mitochondrion	
Q96CV9	OPTN	Cytosol	Cytosol	
Q96SN7	ORAI2	Early endosome		
Q13415	ORC1	Nucleus	Nucleus	
Q13416	ORC2	Nucleus		
Q9UBD5	ORC3	Nucleus		
O43929	ORC4	Nucleus		
O43913	ORC5	Nucleus		
Q9P0S3	ORMDL1	Endoplasmic reticulum		
Q8N138	ORMDL3	Nucleus		
Q13438	OS9	Endoplasmic reticulum	Endoplasmic reticulum	
P22059	OSBP	trans-Golgi network		
Q9BXB5	OSBPL10	trans-Golgi network		
Q9BXB4	OSBPL11	trans-Golgi network		
Q9BXW6	OSBPL1A	Lysosome		
Q9H1P3	OSBPL2	Cytosol		
Q9H4L5	OSBPL3	Endoplasmic reticulum		
Q9BZF3	OSBPL6	14-3-3 scaffold		
Q9BZF1	OSBPL8	Endoplasmic reticulum	Endoplasmic reticulum	
Q96SU4	OSBPL9	trans-Golgi network		
Q8WVF1	OSCP1	Cytosol		
Q9H4B0	OSGEPL1	Mitochondrion		
Q92882	OSTF1	Cytosol		
Q86WC4	OSTM1	Lysosome		
Q96FW1	OTUB1	Cytosol		
Q96DC9	OTUB2	Cytosol		
Q5T2D3	OTUD3	Nucleus		
Q01804	OTUD4	Stress granule		
Q96G74	OTUD5	Cytosol	Cytosol	
Q8N6M0	OTUD6B	Cytosol		
Q6GQQ9	OTUD7B	Cytosol		
Q96BN8	OTULIN	Cytosol		
P32242	OTX1	Nucleus	Nucleus	
Q8WZ82	OVCA2	Mitochondrion		
Q15070	OXA1L	Mitochondrion		Mitochondrion
P55809	OXCT1	Mitochondrion	Mitochondrion	Mitochondrion
Q5BKU9	OXLD1	Mitochondrion		
Q96HP4	OXNAD1	Mitochondrion		
Q8N573	OXR1	Cytosol		
Q9NWU1	OXSM	Mitochondrion		
O95747	OXSR1	Cytosol		
Q32P28	P3H1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q8IVL6	P3H3	Endoplasmic reticulum		
Q92791	P3H4	Endoplasmic reticulum	Endoplasmic reticulum	
P13674	P4HA1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
O15460	P4HA2	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
P07237	P4HB	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q9UQ80	PA2G4	Translation		
Q9BRP4	PAAF1	Cytosol		
Q9H8K7	PAAT	Early endosome		
Q96E09	PABIR1	Cytosol	Cytosol	
Q7Z309	PABIR2	Cytosol	Cytosol	
P11940	PABPC1	Stress granule	Stress granule	
Q13310	PABPC4	Stress granule	Stress granule	
Q86U42	PABPN1	Nucleus		
Q9H813	PACC1	Recycling endosome		
Q86VP3	PACS2	14-3-3 scaffold		
Q9UNF0	PACSIN2	Cell membrane		
Q9UKS6	PACSIN3	Recycling endosome		
Q8N7H5	PAF1	Nucleus		
P68402	PAFAH1B2	Cytosol		
Q15102	PAFAH1B3	Cytosol		
Q99487	PAFAH2	Peroxisome		
Q9NWQ8	PAG1	Cell membrane		
Q9BTK6	PAGR1	Cytosol		
P22234	PAICS	Cytosol		
Q9H074	PAIP1	Stress granule		
Q9BPZ3	PAIP2	Stress granule		
Q9ULR5	PAIP2B	Cytosol		
Q13153	PAK1	Cytosol	Cytosol	
Q9NWT1	PAK1IP1	Nucleolus		
Q13177	PAK2	Cytosol		
O96013	PAK4	Cytoskeleton		
Q86YC2	PALB2	Nucleus	Nucleus	
Q9ULE6	PALD1	Cytosol		
Q8WX93	PALLD	Cytoskeleton		Actin binding proteins
O75781	PALM	Cell membrane	Cell membrane	Cell membrane
Q9Y2D5	PALM2AKAP2	Cell membrane		
A6NDB9	PALM3	Cell membrane		
Q8N3R9	PALS1	Cell membrane		
Q9NZW5	PALS2	Cell membrane		
Q9Y3D7	PAM16	Mitochondrion		
Q504Q3	PAN2	Stress granule		
Q58A45	PAN3	Stress granule		
Q8TE04	PANK1	Cytosol	Cytosol	
Q9BZ23	PANK2	Cytosol		
Q9H999	PANK3	Cytosol	Cytosol	
Q9NVE7	PANK4	Cytosol		
Q96RD7	PANX1	Cell membrane		
Q9BWT3	PAPOLG	Nucleus		
O43252	PAPSS1	Cytosol		
O95340	PAPSS2	Cytosol		
Q8TEW0	PARD3	Cell membrane		
Q9BYG5	PARD6B	Cell membrane		
O95453	PARN	Nucleolus		
P09874	PARP1	Nucleus		
Q8N5Y8	PARP16	Endoplasmic reticulum		
Q9UGN5	PARP2	Nucleus		
Q7L3T8	PARS2	Mitochondrion		
Q9NVD7	PARVA	Cell membrane		
Q9HBI1	PARVB	Cell membrane		
Q96RG2	PASK	Cytosol	Cytosol	
Q8NI35	PATJ	Cell membrane		
Q86TB9	PATL1	P-body	P-body	
Q9HBE1	PATZ1	Nucleolus	Nucleus	
Q96IZ0	PAWR	Cytoskeleton		
P23760	PAX3	Nucleus		
P26367	PAX6	Nucleus	Nucleus	
Q9Y5B6	PAXBP1	Nucleus		
Q6ZW49	PAXIP1	Nucleus		
Q9BVG4	PBDC1	Stress granule		
Q96KB5	PBK	Cytosol		
P30039	PBLD	Cytosol		
Q86U86	PBRM1	Nucleus	Nucleus	
P40424	PBX1	Nucleus		
P40425	PBX2	Nucleus		
P40426	PBX3	Nucleus		
Q96AQ6	PBXIP1	Endoplasmic reticulum		
P11498	PC	Mitochondrion		Mitochondrion
P61457	PCBD1	Cytosol		
Q9H0N5	PCBD2	Mitochondrion		
P05165	PCCA	Mitochondrion	Mitochondrion	
P05166	PCCB	Mitochondrion	Mitochondrion	
Q9P2E7	PCDH10	Cell membrane		
O60245	PCDH7	Cell membrane	Cell membrane	Cell membrane
Q9HC56	PCDH9	Cell membrane		
O94913	PCF11	Nucleus		
Q9BSM1	PCGF1	Nucleus		
P35227	PCGF2	Nucleus	Nucleus	
Q86SE9	PCGF5	Nucleus		
Q5JVF3	PCID2	Nucleus		
Q16822	PCK2	Mitochondrion		
Q15004	PCLAF	Nucleus		
Q15154	PCM1	Centrosome	Centrosome	
Q8WW12	PCNP	Nucleus		
O95613	PCNT	Centrosome	Centrosome	
Q96RV3	PCNX1	Early endosome		
Q9H6A9	PCNX3	Cell membrane		
Q9UHG2	PCSK1N	Early endosome		
P29122	PCSK6	Endoplasmic reticulum		
Q9UHG3	PCYOX1	Endoplasmic reticulum	Endoplasmic reticulum	
Q8NBM8	PCYOX1L	Endoplasmic reticulum		
Q99447	PCYT2	Cytosol		
Q13442	PDAP1	Translation		
Q9BUL8	PDCD10	Cytosol		
Q14690	PDCD11	Nucleolus	Nucleus	
Q16342	PDCD2	Stress granule		
O14737	PDCD5	Cytoskeleton		
O75340	PDCD6	Cytosol	Endoplasmic reticulum	
Q8WUM4	PDCD6IP	Cytosol		
Q13371	PDCL	Cytosol		
Q9H2J4	PDCL3	Cytoskeleton		
Q6L8Q7	PDE12	Mitochondrion		Mitochondrion
Q13370	PDE3B	Endoplasmic reticulum		
Q5VU43	PDE4DIP	Cytosol		
O76074	PDE5A	Cytosol		
O43924	PDE6D	Cytosol		
O60658	PDE8A	Cell membrane		
Q9HBH1	PDF	Mitochondrion		
P08559	PDHA1	Mitochondrion	Mitochondrion	Mitochondrion
P11177	PDHB	Mitochondrion	Mitochondrion	Mitochondrion
O00330	PDHX	Mitochondrion	Mitochondrion	Mitochondrion
P30101	PDIA3	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
P13667	PDIA4	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q14554	PDIA5	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q15084	PDIA6	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q8N165	PDIK1L	Nucleus		
Q15118	PDK1	Mitochondrion		
Q15119	PDK2	Mitochondrion	Mitochondrion	
Q15120	PDK3	Mitochondrion	Mitochondrion	
O00151	PDLIM1	Cell membrane	Cytoskeleton	
Q96JY6	PDLIM2	Cytosol		
Q53GG5	PDLIM3	Cytosol		
P50479	PDLIM4	Cytosol		
Q96HC4	PDLIM5	Cytosol		
Q9NR12	PDLIM7	Cell membrane	Cytoskeleton	Actin binding proteins
Q9P0J1	PDP1	Mitochondrion		Mitochondrion
Q9P2J9	PDP2	Mitochondrion		
O15530	PDPK1	Cytosol	Mitochondrion	
Q8NCN5	PDPR	Mitochondrion		Mitochondrion
Q29RF7	PDS5A	Nucleus		
Q9NTI5	PDS5B	Nucleus		
Q5T2R2	PDSS1	Mitochondrion		
Q86YH6	PDSS2	Mitochondrion		
O00764	PDXK	Cytosol		
Q96GD0	PDXP	Cytosol		
Q5EBL8	PDZD11	Cytosol		
Q8NEN9	PDZD8	Endoplasmic reticulum		
Q9UPQ7	PDZRN3	Cytosol		
Q15121	PEA15	Cytosol		
Q9H792	PEAK1	Cytoskeleton		
P30086	PEBP1	Cytosol		
Q9BY49	PECR	Peroxisome	Peroxisome	
Q9UBV8	PEF1	Cytosol		
Q8IZL8	PELP1	Nucleus		
P12955	PEPD	Cytosol		
O15534	PER1	Cytosol		
O00541	PES1	Nucleolus	Nucleus	
Q6UWS5	PET117	Mitochondrion		
O43933	PEX1	Peroxisome	Peroxisome	Peroxisome
O96011	PEX11B	Endoplasmic reticulum	Peroxisome	Peroxisome
O00623	PEX12	Peroxisome		
Q92968	PEX13	Peroxisome		Peroxisome
O75381	PEX14	Peroxisome	Peroxisome	Peroxisome
Q9Y5Y5	PEX16	Peroxisome	Peroxisome	
P40855	PEX19	Cytosol		
P28328	PEX2	Peroxisome	Peroxisome	
Q7Z412	PEX26	Peroxisome		
P56589	PEX3	Peroxisome		Peroxisome
P50542	PEX5	Peroxisome	Peroxisome	
Q13608	PEX6	Peroxisome	Endoplasmic reticulum	Peroxisome
O00628	PEX7	Cytosol		
O15067	PFAS	Cytosol		
O60925	PFDN1	Cytosol		Large protein complex
Q9UHV9	PFDN2	Cytosol		Large protein complex
Q9NQP4	PFDN4	Cytosol		
Q99471	PFDN5	Cytosol		Large protein complex
O60825	PFKFB2	14-3-3 scaffold		
Q16875	PFKFB3	Cytosol		
Q16877	PFKFB4	Cytosol	Cytosol	
P17858	PFKL	Cytosol		
P08237	PFKM	Cytosol		
Q01813	PFKP	Cytosol		
P07737	PFN1	Cytoskeleton		
P35080	PFN2	Cytosol	Cytosol	
P60673	PFN3	Cytoskeleton		
P18669	PGAM1	Cytosol		
Q96HS1	PGAM5	Mitochondrion		
Q75T13	PGAP1	Endoplasmic reticulum		
Q8N414	PGBD5	Cytosol		
P52209	PGD	Cytosol		
P53609	PGGT1B	Cytosol	Cytosol	
P00558	PGK1	Cytosol		
O95336	PGLS	Cytosol		
P36871	PGM1	Cytosol		
Q96G03	PGM2	Cytosol		
Q6PCE3	PGM2L1	Cytosol	Cytosol	
O95394	PGM3	Cytosol		
A6NDG6	PGP	Cytosol		
Q9NXJ5	PGPEP1	Cytosol		
O00264	PGRMC1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
O15173	PGRMC2	Endoplasmic reticulum	Endoplasmic reticulum	
Q32NB8	PGS1	Mitochondrion		
O75167	PHACTR2	Cytoskeleton		
Q8IZ21	PHACTR4	Cytoskeleton		
Q9BSU1	PHAF1	Cytosol		
Q9H814	PHAX	Cytosol		
P35232	PHB1	Mitochondrion	Mitochondrion	Mitochondrion
Q99623	PHB2	Mitochondrion	Mitochondrion	
P78364	PHC1	Nucleus	Nucleus	
Q8IXK0	PHC2	Nucleus	Nucleus	
Q8NDX5	PHC3	Nucleus	Nucleus	
Q8WUB8	PHF10	Nucleolus		
Q96QT6	PHF12	Nucleus	Nucleus	
O94880	PHF14	Nucleus	Nucleus	
O75151	PHF2	Nucleus	Nucleus	
Q9BVI0	PHF20	Nucleus	Nucleus	
Q96BD5	PHF21A	Nucleus		
Q92576	PHF3	Nucleolus		
Q7RTV0	PHF5A	Nucleus		
Q8IWS0	PHF6	Nucleus		
Q9UPP1	PHF8	Nucleus		
O43175	PHGDH	Cytosol		
Q8WWQ0	PHIP	Nucleus	Nucleus	
P46020	PHKA1	Cytosol		
P46019	PHKA2	Cytosol	Cytosol	
Q93100	PHKB	Cytosol		
P15735	PHKG2	Cytosol		
Q9Y5J5	PHLDA3	Cell membrane	Cell membrane	
Q86UU1	PHLDB1	Cell membrane		
Q86SQ0	PHLDB2	Cytoskeleton		
O60346	PHLPP1	Cytosol		
Q6ZVD8	PHLPP2	Cytosol		
Q9NRX4	PHPT1	Cytosol		
Q9P1Y6	PHRF1	Nucleus		
O14832	PHYH	Endoplasmic reticulum		
Q5SRE7	PHYHD1	Cytosol	Cytosol	
Q9BTU6	PI4K2A	Early endosome		
Q8TCG2	PI4K2B	trans-Golgi network		
P42356	PI4KA	Cytoskeleton		
Q9UBF8	PI4KB	14-3-3 scaffold		
O75925	PIAS1	Nucleolus		
Q8N2W9	PIAS4	Nucleus	Nucleus	
Q8WXW3	PIBF1	Centrosome		
Q13492	PICALM	Cytoskeleton		
Q9NRD5	PICK1	Cytosol		
Q92508	PIEZO1	Cell membrane		
P37287	PIGA	Endoplasmic reticulum		
Q5H8A4	PIGG	Endoplasmic reticulum-Golgi intermediate compartment		
Q14442	PIGH	Endoplasmic reticulum		
Q92643	PIGK	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q9H3S5	PIGM	Endoplasmic reticulum		
O95427	PIGN	Endoplasmic reticulum		
Q8TEQ8	PIGO	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q96S52	PIGS	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q969N2	PIGT	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q9H490	PIGU	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q7Z7B1	PIGW	Endoplasmic reticulum		
Q8TBF5	PIGX	Endoplasmic reticulum		
Q6ZUJ8	PIK3AP1	Cytosol		
O00443	PIK3C2A	Cytoskeleton		
O00750	PIK3C2B	Cytosol		
Q8NEB9	PIK3C3	Early endosome		
P42338	PIK3CB	Cytoskeleton		
P27986	PIK3R1	Cell membrane		
O00459	PIK3R2	Cell membrane		
Q92569	PIK3R3	Cytoskeleton		
Q99570	PIK3R4	Early endosome		
Q9Y2I7	PIKFYVE	Early endosome		
Q9BSJ6	PIMREG	Nucleus		
Q13526	PIN1	Cytosol		
Q96BK5	PINX1	Nucleolus		
P48426	PIP4K2A	Cytoskeleton		
P78356	PIP4K2B	Cytoskeleton		
Q8TBX8	PIP4K2C	Cytoskeleton		
Q86T03	PIP4P1	Lysosome		
Q8N4L2	PIP4P2	Lysosome		
Q99755	PIP5K1A	Cytoskeleton	Cell membrane	
O60331	PIP5K1C	Cell membrane		
O00625	PIR	Cytosol		
Q9UG56	PISD	Mitochondrion		
Q9GZP4	PITHD1	Proteasome		
Q00169	PITPNA	Cytosol		
P48739	PITPNB	Cytosol		
Q9UKF7	PITPNC1	Cytosol		
O00562	PITPNM1	Cytosol		
Q5JRX3	PITRM1	Mitochondrion	Mitochondrion	Mitochondrion
P78337	PITX1	Nucleus		
Q99697	PITX2	Nucleolus		
Q8NG27	PJA1	Cytosol		
Q13563	PKD2	Endoplasmic reticulum		
P61925	PKIA	Cytosol		
Q9C010	PKIB	Cytosol		
Q9Y2B9	PKIG	Cytosol		
P14618	PKM	Cytosol	Cytosol	
Q99640	PKMYT1	Endoplasmic reticulum	Endoplasmic reticulum	
Q16513	PKN2	Cytoskeleton		
P55347	PKNOX1	Nucleus	Nucleus	
Q99959	PKP2	Cell membrane		
Q99569	PKP4	Cell membrane		
Q8NCC3	PLA2G15	Lysosome	Lysosome	
P47712	PLA2G4A	Cytosol		
P00750	PLAT	Golgi apparatus		
Q8NHP8	PLBD2	Lysosome	Lysosome	Lysosome
Q9NQ66	PLCB1	Cell membrane		
Q01970	PLCB3	Cell membrane		
Q15147	PLCB4	Cell membrane		
Q8N3E9	PLCD3	Cell membrane	Cell membrane	
P19174	PLCG1	Cytosol	Cytosol	
P16885	PLCG2	Cytosol		
Q4KWH8	PLCH1	14-3-3 scaffold		
Q9UPR0	PLCL2	Cell membrane		
Q13393	PLD1	Cell membrane		
O14939	PLD2	Cell membrane		
Q8IV08	PLD3	Lysosome		
Q15149	PLEC	Cytoskeleton		
Q9HB21	PLEKHA1	Cell membrane		
Q9HB20	PLEKHA3	Golgi apparatus		
Q9HAU0	PLEKHA5	Cytoskeleton		
Q6IQ23	PLEKHA7	Cytoskeleton		
Q96JA3	PLEKHA8	Golgi apparatus		
Q9H8W4	PLEKHF2	Early endosome		
A1L390	PLEKHG3	Cytoskeleton		
Q58EX7	PLEKHG4	14-3-3 scaffold		
Q7Z736	PLEKHH3	trans-Golgi network		
Q9NW61	PLEKHJ1	Nucleus		
Q8IWE5	PLEKHM2	Early endosome		
Q53GL0	PLEKHO1	Cell membrane		
Q8TD55	PLEKHO2	Cytosol	Cytosol	
Q9HBL7	PLGRKT	Mitochondrion		
Q99541	PLIN2	Cytosol		
O60664	PLIN3	Cytosol		
Q02809	PLOD1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
O00469	PLOD2	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
O60568	PLOD3	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
O94903	PLPBP	Mitochondrion		
O14494	PLPP1	Cell membrane		
O14495	PLPP3	Cell membrane		
O43660	PLRG1	Nucleus		
Q14651	PLS1	Cytosol		Actin binding proteins
P13797	PLS3	Cytosol		Actin binding proteins
O15162	PLSCR1	Cell membrane		
P55058	PLTP	Endoplasmic reticulum		
Q9UIW2	PLXNA1	Cell membrane	Cell membrane	Cell membrane
O15031	PLXNB2	Cell membrane	Cell membrane	Cell membrane
Q8IYS1	PM20D2	Cytosol		
P29590	PML	Early endosome		
Q92871	PMM1	Cytosol		
O15305	PMM2	Cytosol		
Q10713	PMPCA	Mitochondrion	Mitochondrion	Mitochondrion
O75439	PMPCB	Mitochondrion	Mitochondrion	Mitochondrion
Q68D20	PMS2CL	Cytosol		
Q15126	PMVK	Cytosol		
Q8N490	PNKD	Endoplasmic reticulum		
Q96T60	PNKP	Nucleus		
Q8ND90	PNMA1	Nucleus		
Q86V59	PNMA8A	Nucleolus		
Q9H307	PNN	Nucleus		
Q9NRX1	PNO1	Nucleolus		
P00491	PNP	Cytosol		
Q96AD5	PNPLA2	14-3-3 scaffold		
Q8IY17	PNPLA6	Endoplasmic reticulum	Endoplasmic reticulum	
Q9NP80	PNPLA8	Endoplasmic reticulum		
Q9NVS9	PNPO	Mitochondrion		
Q8TCS8	PNPT1	Mitochondrion		Mitochondrion
Q8NBT0	POC1A	Nucleus	Centrosome	
O00592	PODXL	Recycling endosome		
Q9NZ53	PODXL2	Recycling endosome	Cell membrane	
Q9H488	POFUT1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q9Y2G5	POFUT2	Endoplasmic reticulum		
Q8NBL1	POGLUT1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q6UW63	POGLUT2	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q7Z4H8	POGLUT3	Endoplasmic reticulum		Endoplasmic reticulum
Q7Z3K3	POGZ	Nucleus	Nucleus	
P06746	POLB	Nucleus		
P28340	POLD1	Cytosol		
P49005	POLD2	Cytosol		
Q15054	POLD3	Cytosol		
Q9Y2S7	POLDIP2	Mitochondrion	Mitochondrion	
Q9BY77	POLDIP3	Nucleus		
Q07864	POLE	Cytosol		
P56282	POLE2	Cell membrane		
Q9NR33	POLE4	Cytosol		
P54098	POLG	Mitochondrion		Mitochondrion
Q9UHN1	POLG2	Mitochondrion		
O95602	POLR1A	Nucleolus		
Q9H9Y6	POLR1B	Nucleolus		
O15160	POLR1C	Nucleus		
P0DPB6	POLR1D	Nucleus		
Q9GZS1	POLR1E	Nucleolus		
Q3B726	POLR1F	Nucleolus		
O15446	POLR1G	Nucleus		
Q9P1U0	POLR1H	Nucleolus		
P24928	POLR2A	Nucleus		
P30876	POLR2B	Nucleus		
P19387	POLR2C	Nucleus		
O15514	POLR2D	Nucleus		
P19388	POLR2E	Nucleus		
P62487	POLR2G	Nucleus		
P52434	POLR2H	Nucleus		
P36954	POLR2I	Nucleus		
P62875	POLR2L	Nucleus		
Q6EEV4	POLR2M	Cytosol		
O14802	POLR3A	Cytosol		
Q9NW08	POLR3B	Cytosol		
P05423	POLR3D	Cytosol		
Q9H1D9	POLR3F	Cytosol		
O15318	POLR3G	Cytosol	Cytosol	
Q9Y535	POLR3H	Cytosol		
Q9Y2Y1	POLR3K	Cytosol		
O00411	POLRMT	Mitochondrion	Mitochondrion	Mitochondrion
Q96HA1	POM121	Endoplasmic reticulum		
A8CG34	POM121C	Endoplasmic reticulum	Nucleus	
Q8WZA1	POMGNT1	Golgi apparatus		
Q8NAT1	POMGNT2	Endoplasmic reticulum		
Q9H5K3	POMK	Endoplasmic reticulum		
Q9Y244	POMP	Proteasome	Cytosol	
Q9UKY4	POMT2	Endoplasmic reticulum		
Q15165	PON2	Endoplasmic reticulum	Endoplasmic reticulum	
Q99575	POP1	Nucleolus		
O95707	POP4	Translation		
O75817	POP7	Translation		
P16435	POR	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q9NUX5	POT1	Nucleus		
P14859	POU2F1	Nucleus		
P20265	POU3F2	Nucleus		
Q15181	PPA1	Cytosol		
Q9H2U2	PPA2	Mitochondrion	Mitochondrion	Mitochondrion
Q9NQ55	PPAN	Nucleus		
Q06203	PPAT	Cytosol		
Q96CD2	PPCDC	Cytosol	Cytosol	
Q9HAB8	PPCS	Cytosol		
Q9H3Y8	PPDPF	Nucleus		
Q13136	PPFIA1	Cytoskeleton		
O75145	PPFIA3	Cytosol		
Q86W92	PPFIBP1	Cell membrane		
Q8ND30	PPFIBP2	Cytosol		
Q8NEY8	PPHLN1	Nucleus	Nucleus	
P62937	PPIA	Cytosol		
P23284	PPIB	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
P45877	PPIC	Endoplasmic reticulum		
Q08752	PPID	Cytosol		
Q9UNP9	PPIE	Nucleus		
P30405	PPIF	Mitochondrion	Mitochondrion	Mitochondrion
Q13427	PPIG	Nucleus		
O43447	PPIH	Nucleus		
Q9Y3C6	PPIL1	Nucleus		
Q9H2H8	PPIL3	Cytosol		
O43314	PPIP5K2	14-3-3 scaffold		
P35813	PPM1A	Cytosol		
O75688	PPM1B	Cytosol	Cytosol	
O15297	PPM1D	Nucleus		
Q8WY54	PPM1E	Cytosol		
P49593	PPM1F	Cytosol		
O15355	PPM1G	Cytosol		
Q5SGD2	PPM1L	Golgi apparatus		
Q9Y570	PPME1	Cytosol		
P50336	PPOX	Mitochondrion		
P62136	PPP1CA	Cytoskeleton		
P62140	PPP1CB	Cytoskeleton		
P36873	PPP1CC	Cell membrane		
Q96QC0	PPP1R10	Nucleus		
O60927	PPP1R11	Cytosol		
O14974	PPP1R12A	Cell membrane	Cytoskeleton	
O60237	PPP1R12B	Cytoskeleton		
Q9BZL4	PPP1R12C	Cell membrane		
Q96KQ4	PPP1R13B	Cell membrane		
Q8WUF5	PPP1R13L	Cytosol		
Q96C90	PPP1R14B	Cytosol		
Q8TAE6	PPP1R14C	Cytosol		
Q5SWA1	PPP1R15B	Endoplasmic reticulum		
Q6NYC8	PPP1R18	Cytoskeleton	Cytoskeleton	Actin binding proteins
P41236	PPP1R2	Cytosol		
Q6ZMI0	PPP1R21	Early endosome		
O75864	PPP1R37	Cytosol		
O95685	PPP1R3D	14-3-3 scaffold		
Q15435	PPP1R7	Cytosol		
Q12972	PPP1R8	Nucleus		
Q9ULJ8	PPP1R9A	Cytoskeleton		
Q96SB3	PPP1R9B	Cell membrane		Actin binding proteins
P67775	PPP2CA	Cytosol		
P62714	PPP2CB	Cytosol		Large protein complex
P30153	PPP2R1A	Cytosol		Large protein complex
P30154	PPP2R1B	Cytosol		Large protein complex
P63151	PPP2R2A	Cytosol		
Q66LE6	PPP2R2D	Cytosol	Cytosol	
Q06190	PPP2R3A	Cytosol	Cytosol	
Q9Y5P8	PPP2R3B	Cytosol	Cytosol	
Q969Q6	PPP2R3C	Nucleus		
Q15172	PPP2R5A	Cytosol		
Q13362	PPP2R5C	Cytosol		
Q14738	PPP2R5D	Cytosol		Large protein complex
Q16537	PPP2R5E	Cytosol		
Q08209	PPP3CA	Cytosol		
P16298	PPP3CB	Cytosol		
P63098	PPP3R1	Cytosol		
P60510	PPP4C	Cytosol		
Q8TF05	PPP4R1	Cytosol		
Q9NY27	PPP4R2	Cytosol		
Q6IN85	PPP4R3A	Cytosol		
Q5MIZ7	PPP4R3B	Cytosol		
P53041	PPP5C	Cytosol		
O00743	PPP6C	Cytosol		
O75170	PPP6R2	Cytosol		
Q5VV67	PPRC1	Nucleus		
P50897	PPT1	Lysosome	Lysosome	Lysosome
Q9UMR5	PPT2	Lysosome	Lysosome	
Q8NI37	PPTC7	Mitochondrion	Mitochondrion	
Q96BP3	PPWD1	Nucleus		
O60828	PQBP1	Nucleus		
O60831	PRAF2	Endoplasmic reticulum		
O43663	PRC1	Nucleus	Nucleus	
Q92733	PRCC	Nucleus		
P42785	PRCP	Lysosome	Lysosome	Lysosome
Q9NQV6	PRDM10	Nucleus	Nucleus	
P57071	PRDM15	Nucleus		
Q9HAZ2	PRDM16	Nucleus		
Q13029	PRDM2	Nucleus		
Q06830	PRDX1	Cytosol		
P32119	PRDX2	Cytosol		
P30048	PRDX3	Mitochondrion	Mitochondrion	
Q13162	PRDX4	Endoplasmic reticulum	Endoplasmic reticulum	
P30044	PRDX5	Mitochondrion	Peroxisome	
P30041	PRDX6	Cytosol		
Q9HCU5	PREB	Endoplasmic reticulum	Endoplasmic reticulum	
