id	gene_name	Topological domain	Transmembrane	Intramembrane	has_signal	has_transmem	has_intramem	has_topo_dom
P0CZ17	ASP3-1				True
P10174	COX7	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P10614	ERG11	Lumenal; Cytoplasmic	Helical			True		True
P10863	TIR1				True
P10870	SNF3	Cytoplasmic; Extracellular	Helical			True		True
P11491	PHO8	Cytoplasmic; Vacuolar	Helical			True		True
P11655	SEC12	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P11710	FUS1		Helical			True
P12630	BAR1				True
P12683	HMG1	Cytoplasmic; Lumenal	Helical			True		True
P12684	HMG2	Cytoplasmic; Lumenal	Helical			True		True
P12866	STE6	Cytoplasmic; Extracellular	Helical			True		True
P13134	KEX2	Lumenal; Cytoplasmic	Helical		True	True		True
P13586	PMR1	Cytoplasmic; Lumenal	Helical			True		True
P13587	ENA1	Cytoplasmic; Extracellular	Helical			True		True
P14020	DPM1	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein			True		True
P14180	CHS2	Extracellular; Cytoplasmic	Helical			True		True
P14772	BPT1	Vacuolar; Cytoplasmic	Helical			True		True
P14906	SEC63	Lumenal; Cytoplasmic	Helical			True		True
P15367	SEC11	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P15703	BGL2				True
P16474	KAR2				True
P16603	NCP1	Lumenal; Cytoplasmic	Helical			True		True
P16661	ALG1	Lumenal; Cytoplasmic	Helical	Helical		True	True	True
P17064	FCY2	Cytoplasmic; Extracellular	Helical			True		True
P17260	KRE1				True
P17898	CPT1	Lumenal; Cytoplasmic	Helical			True		True
P17967	PDI1				True
P18238	AAC3		Helical			True
P18239	PET9		Helical			True
P18410	SPO7	Cytoplasmic; Extracellular	Helical			True		True
P19145	GAP1	Cytoplasmic; Extracellular	Helical			True		True
P19516	COX11	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P19657	PMA2	Cytoplasmic; Extracellular	Helical			True		True
P19807	HNM1	Extracellular; Cytoplasmic	Helical			True		True
P20107	ZRC1	Cytoplasmic; Vacuolar	Helical			True		True
P20840	SAG1				True
P21147	OLE1	Cytoplasmic; Lumenal	Helical			True		True
P21560	CBP3		Helical			True
P21592	COX10		Helical			True
P21825	SEC62	Cytoplasmic; Lumenal	Helical			True		True
P22140	EPT1	Lumenal; Cytoplasmic	Helical			True		True
P22146	GAS1				True
P22214	SEC22	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			True		True
P22289	QCR9	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P22804	BET1	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			True		True
P23285	CPR2				True
P23585	HXT2	Cytoplasmic; Extracellular	Helical			True		True
P23642	VAN1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P23776	EXG1				True
P23833	SCO1		Helical			True
P23900	FPS1	Extracellular; Cytoplasmic	Helical			True		True
P23968	VMA16	Vacuolar; Cytoplasmic	Helical			True		True
P25045	LCB1	Lumenal; Cytoplasmic	Helical			True		True
P25297	PHO84	Extracellular; Cytoplasmic	Helical			True		True
P25303	SCJ1				True
P25340	ERG4	Lumenal; Cytoplasmic	Helical			True		True
P25346	GIT1	Cytoplasmic; Extracellular	Helical			True		True
P25353	NPP1	Cytoplasmic; Extracellular	Helical			True		True
P25358	ELO2	Lumenal; Cytoplasmic	Helical			True		True
P25360	PHO87	Extracellular; Cytoplasmic	Helical			True		True
P25376	AGP1	Cytoplasmic; Extracellular	Helical			True		True
P25385	BOS1	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			True		True
P25515	VMA3	Vacuolar; Cytoplasmic	Helical			True		True
P25573	MGR1	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P25574	EMC1	Lumenal; Cytoplasmic	Helical		True	True		True
P25587	LDB16	Extracellular; Cytoplasmic	Helical			True		True
P25613	ADY2	Cytoplasmic; Extracellular	Helical			True		True
P25618	CWH43	Cytoplasmic; Extracellular	Helical			True		True
P25641	ATG15	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P25653	FIG2				True
P25656	CDC50	Cytoplasmic; Lumenal	Helical			True		True
P27514	PHO91		Helical			True
P27614	CPS1	Cytoplasmic; Lumenal	Helical			True		True
P27654	TIP1				True
P27809	KRE2	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P27810	KTR1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P27825	CNE1	Lumenal	Helical		True	True		True
P28319	CWP1				True
P28496	LAC1	Cytoplasmic; Lumenal	Helical			True		True
P28737	MSP1	Mitochondrial intermembrane; Cytoplasmic	Helical			True		True
P28791	SEC20	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein			True		True
P28795	PEX3	Peroxisomal; Cytoplasmic	Helical			True		True
P29029	CTS1				True
P29465	CHS3	Cytoplasmic; Extracellular	Helical			True		True
P29704	ERG9		Helical			True
P30605	ITR1	Cytoplasmic; Extracellular	Helical			True		True
P31109	SNC1	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			True		True
P31377	SYN8	Cytoplasmic	Helical; Anchor for type IV membrane protein			True		True
P31382	PMT2	Cytoplasmic; Lumenal	Helical			True		True
P31755	OCH1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P32266	MGM1	Mitochondrial matrix; Mitochondrial intermembrane	Helical; Signal-anchor for type II membrane protein			True		True
P32319	PEP1	Lumenal; Cytoplasmic	Helical		True	True		True
P32323	AGA1				True
P32329	YPS1				True
P32332	OAC1		Helical			True
P32334	MSB2	Extracellular; Cytoplasmic	Helical		True	True		True
P32343	SSH4	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P32352	ERG2		Helical			True
P32353	ERG3	Cytoplasmic; Lumenal	Helical			True		True
P32361	IRE1	Lumenal; Cytoplasmic	Helical		True	True		True
P32363	SPT14		Helical			True
P32368	SAC1	Cytoplasmic; Lumenal	Helical			True		True
P32386	YBT1	Lumenal; Cytoplasmic	Helical			True		True
P32462	ERG24	Lumenal; Cytoplasmic	Helical			True		True
P32465	HXT1	Cytoplasmic; Extracellular	Helical			True		True
P32466	HXT3	Cytoplasmic; Extracellular	Helical			True		True
P32467	HXT4	Cytoplasmic; Extracellular	Helical			True		True
P32472	FPR2				True
P32474	EUG1				True
P32476	ERG1	Cytoplasmic; Lumenal	Helical			True		True
P32478	HSP150				True
P32486	KRE6	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P32500	NDC1	Cytoplasmic; Perinuclear space	Helical			True		True
P32563	VPH1	Cytoplasmic; Vacuolar	Helical			True		True
P32568	SNQ2		Helical			True
P32584	STE14	Cytoplasmic; Lumenal	Helical	Helical		True	True	True
P32621	GDA1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P32623	UTR2				True
P32629	ANP1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P32660	DNF1	Cytoplasmic; Extracellular	Helical			True		True
P32768	FLO1				True
P32784	SCT1	Lumenal; Cytoplasmic	Helical			True		True
P32791	FRE1	Extracellular; Cytoplasmic	Helical		True	True		True
P32798	COT1	Cytoplasmic; Vacuolar	Helical			True		True
P32799	COX13	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P32800	PEX2	Peroxisomal matrix; Cytoplasmic	Helical			True		True
P32802	EMP70	Lumenal; Cytoplasmic	Helical		True	True		True
P32803	EMP24	Lumenal; Cytoplasmic	Helical		True	True		True
P32839	BCS1	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P32842	VMA11	Vacuolar; Cytoplasmic	Helical			True		True
P32854	PEP12	Cytoplasmic	Helical; Anchor for type IV membrane protein			True		True
P32867	SSO1	Cytoplasmic; Extracellular	Helical; Anchor for type IV membrane protein			True		True
P32897	TIM23	Mitochondrial intermembrane; Mitochondrial matrix	Helical; Note=Outer membrane; Helical; Note=Inner membrane			True		True
P32900	SKG6		Helical			True
P32901	PTR2	Extracellular; Cytoplasmic	Helical			True		True
P32906	MNS1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P32915	SEC61	Cytoplasmic; Lumenal	Helical			True		True
P33296	UBC6	Cytoplasmic	Helical			True		True
P33300	SUR1	Cytoplasmic; Extracellular	Helical			True		True
P33302	PDR5	Cytoplasmic; Extracellular	Helical			True		True
P33310	MDL1		Helical			True
P33328	SNC2	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			True		True
P33336	SKN1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P33338	SLA2		Helical			True
P33413	DUR3	Cytoplasmic; Extracellular	Helical			True		True
P33421	SDH3	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P33448	TOM6	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P33754	SEC66	Lumenal; Cytoplasmic	Helical; Signal-anchor for type II membrane protein			True		True
P33767	WBP1	Lumenal; Cytoplasmic	Helical		True	True		True
P33775	PMT1	Cytoplasmic; Lumenal	Helical			True		True
P34163	TGL1	Lumenal; Cytoplasmic	Helical			True		True
P34230	PXA2		Helical			True
P35176	CPR5				True
P35179	SSS1	Cytoplasmic; Extracellular	Helical			True		True
P35180	TOM20	Mitochondrial intermembrane; Cytoplasmic	Helical			True		True
P35206	CSG2	Lumenal; Cytoplasmic	Helical		True	True		True
P36016	LHS1				True
P36027	MID2	Extracellular; Cytoplasmic	Helical		True	True		True
P36033	FRE2	Extracellular; Cytoplasmic	Helical		True	True		True
P36035	JEN1	Cytoplasmic; Extracellular	Helical			True		True
P36044	MNN4	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P36046	MIA40	Mitochondrial matrix; Mitochondrial intermembrane	Helical; Signal-anchor for type II membrane protein			True		True
P36051	MCD4	Cytoplasmic; Lumenal	Helical			True		True
P36057	SRP102		Helical			True
P36060	MCR1		Helical			True
P36081	PSG1	Lumenal; Cytoplasmic	Helical		True	True		True
P36091	DCW1				True
P36096	TUL1	Lumenal; Cytoplasmic	Helical		True	True		True
P36107	AUR1	Cytoplasmic; Lumenal	Helical			True		True
P36112	MIC60	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P36135	UTH1				True
P36142	HFL1	Extracellular; Cytoplasmic	Helical			True		True
P36148	GPT2	Lumenal; Cytoplasmic	Helical			True		True
P36163	OMA1	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P36170	FLO10				True
P37020	GEF1	Cytoplasmic; Lumenal	Helical			True		True
P37296	STV1	Cytoplasmic; Vacuolar	Helical			True		True
P37298	SDH4	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P37299	QCR10	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P38069	MNN2	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			True		True
P38084	BAP2	Cytoplasmic; Extracellular	Helical			True		True
P38085	TAT1	Cytoplasmic; Extracellular	Helical			True		True
P38109	ATG42				True
P38125	DTR1	Cytoplasmic; Extracellular	Helical			True		True
P38127	RIM2		Helical			True
P38130	KTR3	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P38138	ROT2				True
P38211	GPI18	Cytoplasmic; Lumenal	Helical			True		True
P38212	RCR1	Lumenal; Cytoplasmic	Helical			True		True
P38221	CDS1		Helical			True
P38225	FAT1	Cytoplasmic; Extracellular	Helical			True	True	True
P38227	QDR3	Extracellular; Cytoplasmic	Helical			True		True
P38228	TCM62	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P38242	ALG14	Lumenal; Cytoplasmic	Helical			True		True
P38244	PFF1	Cytoplasmic; Vacuolar	Helical			True		True
P38247	SLM4		Helical			True
P38248	ECM33				True
P38250	IST2	Cytoplasmic; Extracellular	Helical			True		True
P38264	PHO88		Helical			True
P38279	RTC2	Vacuolar; Cytoplasmic	Helical			True		True
P38286	IFA38		Helical			True
P38287	CSH1		Helical			True
P38297	FZO1	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P38298	YPC1	Lumenal; Cytoplasmic	Helical			True	True	True
P38301	GDT1	Cytoplasmic; Vacuolar	Helical			True		True
P38307	DER1	Cytoplasmic; Lumenal	Helical			True		True
P38310	FTH1	Vacuolar; Cytoplasmic	Helical			True		True
P38329	VHC1	Cytoplasmic; Vacuolar	Helical			True		True
P38341	MIC12	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P38342	TSC10	Cytoplasmic; Lumenal	Helical			True		True
P38353	SSH1	Cytoplasmic; Lumenal	Helical			True		True
P38356	BSD2	Extracellular; Cytoplasmic	Helical			True		True
P38360	PCA1	Cytoplasmic; Extracellular	Helical			True		True
P38361	PHO89	Extracellular; Cytoplasmic	Helical			True		True
P38428	CUE1	Lumenal; Cytoplasmic	Helical			True		True
P38626	CBR1		Helical			True
P38631	FKS1	Cytoplasmic; Extracellular	Helical			True		True
P38695	HXT5	Cytoplasmic; Extracellular	Helical			True		True
P38703	LAG1	Cytoplasmic; Lumenal	Helical			True		True
P38717	SIP3	Cytoplasmic; Lumenal	Helical			True		True
P38731	ARN1	Extracellular; Cytoplasmic	Helical			True		True
P38736	GOS1	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			True		True
P38742	NPR3				True
P38757	NEM1		Helical			True
P38770	BRL1	Cytoplasmic; Perinuclear space	Helical			True		True
P38778	SMF2		Helical			True
P38800	LAM4	Cytoplasmic; Lumenal	Helical			True		True
P38825	TOM71	Mitochondrial intermembrane; Cytoplasmic	Helical			True		True
P38836	ECM14				True
P38843	CHS7		Helical			True
P38844	DSE2				True
P38851	LAM1	Cytoplasmic; Lumenal	Helical			True		True
P38857	MPC2	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P38869	SVP26	Cytoplasmic; Lumenal	Helical			True		True
P38875	GPI16	Lumenal; Cytoplasmic	Helical		True	True		True
P38878	LNP1	Cytoplasmic; Lumenal	Helical			True		True
P38881	NVJ1		Helical		True	True
P38887	SMN1				True
P38888	MNL1				True
P38894	FLO5				True
P38925	SMF1	Extracellular; Cytoplasmic	Helical			True		True
P38928	AXL2	Extracellular; Cytoplasmic	Helical		True	True		True
P38929	PMC1	Cytoplasmic; Vacuolar	Helical			True		True
P38954	IPT1	Cytoplasmic; Lumenal	Helical			True		True
P38967	TAT2	Cytoplasmic; Extracellular	Helical			True		True
P38992	SUR2		Helical			True
P38993	FET3	Extracellular; Cytoplasmic	Helical		True	True		True
P38995	CCC2	Cytoplasmic; Lumenal, vesicle	Helical			True		True
P39003	HXT6	Cytoplasmic; Extracellular	Helical			True		True
P39004	HXT7	Cytoplasmic; Extracellular	Helical			True		True
P39006	PSD1	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P39007	STT3	Cytoplasmic; Lumenal	Helical			True		True
P39010	AKR1	Cytoplasmic; Lumenal	Helical			True		True
P39012	GAA1	Cytoplasmic; Lumenal	Helical			True		True
P39105	PLB1				True
P39107	MNN9	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P39109	YCF1	Vacuolar; Cytoplasmic	Helical			True		True
P39515	TIM17	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P39524	DRS2	Cytoplasmic; Lumenal	Helical			True		True
P39540	ELO1	Lumenal; Cytoplasmic	Helical			True		True
P39547	UIP3		Helical			True
P39552	MST28	Cytoplasmic; Extracellular	Helical			True		True
P39685	POM152	Cytoplasmic; Perinuclear space	Helical			True		True
P39704	ERP2	Lumenal; Cytoplasmic	Helical		True	True		True
P39719	FLC2	Lumenal; Cytoplasmic	Helical		True	True		True
P39722	GEM1	Cytoplasmic; Mitochondrial intermembrane	Helical; Anchor for type IV membrane protein			True		True
P39727	ERV46	Cytoplasmic; Lumenal	Helical			True		True
P39925	AFG3	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P39926	SSO2	Cytoplasmic; Extracellular	Helical; Anchor for type IV membrane protein			True		True
P39928	SLN1	Cytoplasmic; Extracellular	Helical			True		True
P39952	OXA1	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P39986	SPF1	Cytoplasmic; Lumenal	Helical			True		True
P39997	NPP2	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			True		True
P40009	YND1	Lumenal; Cytoplasmic	Helical			True		True
P40015	ISC1	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P40046	VTC1	Cytoplasmic; Vacuolar	Helical			True		True
P40056	GET2	Cytoplasmic; Lumenal	Helical			True		True
P40073	SHO1	Cytoplasmic; Extracellular	Helical			True		True
P40075	SCS2	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein			True		True
P40086	COX15	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P40107	VRG4	Cytoplasmic; Lumenal	Helical			True		True
P40152	PPN2	Cytoplasmic; Vacuolar	Helical			True		True
P40218	LDO45	Cytoplasmic; Lumenal	Helical			True		True
P40219	LDO16	Cytoplasmic; Lumenal	Helical			True		True
P40318	SSM4	Cytoplasmic; Lumenal	Helical			True		True
P40319	ELO3	Extracellular; Cytoplasmic	Helical			True		True
P40341	YTA12		Helical			True
P40345	LRO1	Cytoplasmic; Lumenal	Helical			True		True
P40358	JEM1	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein		True	True		True
P40367	LAS21	Lumenal; Cytoplasmic	Helical		True	True		True
P40416	ATM1	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P40438	VTH1	Lumenal; Cytoplasmic	Helical		True	True		True
P40458	ATG32		Helical			True
P40472	SIM1				True
P40474	QDR2	Cytoplasmic; Extracellular	Helical			True		True
P40501	AVT7	Cytoplasmic; Vacuolar	Helical			True		True
P40515	FIS1	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P40527	NEO1	Extracellular; Cytoplasmic	Helical			True		True
P40540	EMC5	Cytoplasmic; Lumenal	Helical			True		True
P40548	SNL1	Perinuclear space; Cytoplasmic	Helical; Signal-anchor for type II membrane protein			True		True
P40556	YIA6	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P40557	EPS1		Helical		True	True
P40578	MGA2		Helical			True
P40857	PHS1	Cytoplasmic; Lumenal	Helical			True		True
P40890	VTH2	Lumenal; Cytoplasmic	Helical		True	True		True
P40970	LCB2		Helical			True
P40988	FET4	Extracellular; Cytoplasmic	Helical			True		True
P40989	GSC2	Extracellular; Cytoplasmic	Helical			True		True
P41543	OST1	Lumenal; Cytoplasmic	Helical		True	True		True
P41698	BUD8	Extracellular; Cytoplasmic	Helical			True		True
P41800	MMM1	Lumenal; Cytoplasmic	Helical			True		True
P41809	HKR1	Extracellular; Cytoplasmic	Helical		True	True		True
P41821	MID1	Extracellular; Cytoplasmic	Helical		True	True		True
P41834	UFE1	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein			True		True
P41909	PXA1		Helical			True
P41948	MEP2	Extracellular; Cytoplasmic	Helical			True		True
P42835	EGT2				True
P42836	PFA3	Cytoplasmic; Vacuolar	Helical			True		True
P42838	LEM3	Cytoplasmic; Extracellular	Helical			True		True
P42839	VNX1	Cytoplasmic; Vacuolar	Helical			True		True
P43497	CWP2				True
P43555	EMP47	Lumenal; Cytoplasmic	Helical		True	True		True
P43561	FET5	Extracellular; Cytoplasmic	Helical		True	True		True
P43564	MIL1		Helical			True
P43571	BST1		Helical			True
P43585	VTC2	Cytoplasmic; Vacuolar	Helical			True		True
P43636	ALG2		Helical			True
P43682	SFT1	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein			True		True
P46964	OST2	Cytoplasmic; Lumenal	Helical			True		True
P46965	SPC1	Cytoplasmic; Lumenal	Helical			True		True
P46971	PMT4	Lumenal; Cytoplasmic	Helical			True		True
P46972	IMP2		Helical			True
P46985	MNN11	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P46989	ATG27	Lumenal; Cytoplasmic	Helical		True	True		True
P47001	CIS3				True
P47013	LCB3	Lumenal; Cytoplasmic	Helical			True		True
P47026	GWT1	Lumenal; Cytoplasmic	Helical			True		True
P47032	PRY1				True
P47033	PRY3				True
P47069	MPS3	Nuclear; Lumenal	Helical			True		True
P47075	VTC4	Cytoplasmic; Vacuolar	Helical			True		True
P47082	AVT1	Cytoplasmic; Vacuolar	Helical			True		True
P47114	KCH1	Extracellular; Cytoplasmic	Helical			True		True
P47124	HOC1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P47154	STE24	Lumenal; Cytoplasmic	Helical			True		True
P47178	DAN1				True
P47190	PMT3	Cytoplasmic; Lumenal	Helical			True		True
P47818	CCC1	Cytoplasmic; Vacuolar	Helical			True		True
P48016	ATH1	Cytoplasmic; Periplasmic	Helical			True		True
P48231	TCB2	Cytoplasmic; Extracellular	Helical			True		True
P48236	GPC1	Cytoplasmic; Lumenal	Helical			True		True
P48439	OST3	Lumenal; Cytoplasmic	Helical		True	True		True
P48558	BXI1	Lumenal; Cytoplasmic	Helical			True		True
P48813	GNP1	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P49018	GPI8	Lumenal; Cytoplasmic	Helical		True	True		True
P49334	TOM22	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P49573	CTR1	Cytoplasmic; Extracellular	Helical			True		True
P50076	DIE2		Helical			True
P50077	CCH1		Helical			True
P50078	TOS2		Helical			True
P50085	PHB2		Helical; Signal-anchor for type II membrane protein			True
P50087	MIC26	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P50108	MNN10	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P50110	SAM37		Helical			True
P50945	MIC27	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P52870	SBH1	Cytoplasmic	Helical			True		True
P52871	SBH2	Cytoplasmic	Helical			True		True
P52923	AIF1		Helical			True
P53008	CWH41	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P53012	SCS3	Cytoplasmic; Lumenal	Helical			True		True
P53039	YIP1	Cytoplasmic; Lumenal	Helical			True		True
P53045	ERG25		Helical			True
P53048	MAL11	Cytoplasmic; Extracellular	Helical			True		True
P53049	YOR1	Cytoplasmic; Extracellular	Helical			True		True
P53093	YIP4		Helical			True
P53109	AIM14	Extracellular; Cytoplasmic	Helical			True		True
P53146	USE1	Cytoplasmic; Lumenal	Helical; Anchor for type IV membrane protein			True		True
P53154	GUP1	Extracellular; Cytoplasmic	Helical			True		True
P53157	MPC1	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P53159	MPS2		Helical			True
P53173	ERV14	Cytoplasmic; Extracellular	Helical			True		True
P53176	MST27	Cytoplasmic; Extracellular	Helical			True		True
P53192	GET1	Lumenal; Cytoplasmic	Helical			True		True
P53223	CAX4	Lumenal; Cytoplasmic	Helical			True		True
P53224	ORM1	Cytoplasmic; Extracellular	Helical			True		True
P53226	BUD9	Extracellular; Cytoplasmic	Helical			True		True
P53259	PCP1		Helical			True
P53262	VOA1	Vacuolar; Cytoplasmic	Helical		True	True		True
P53301	CRH1				True
P53311	MPC3	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P53322	TNA1	Extracellular; Cytoplasmic	Helical			True		True
P53324	SAY1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P53334	SCW4				True
P53379	MKC7				True
P53507	TOM7	Cytoplasmic; Mitochondrial intermembrane	Helical			True		True
P53541	SPO1		Helical		True	True
P53616	SUN4				True
P53633	YIP3		Helical			True
P53721	RCF2	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P53740		Cytoplasmic; Lumenal	Helical			True		True
P53746	FRE4	Extracellular; Cytoplasmic	Helical		True	True		True
P53753	DSE4				True
P53832	WSC2	Extracellular; Cytoplasmic	Helical		True	True		True
P53838	BOR1	Cytoplasmic; Extracellular	Helical			True		True
P53845	YIF1	Cytoplasmic; Lumenal	Helical			True		True
P53868	ALG9	Cytoplasmic; Lumenal	Helical			True		True
P53872					True
P53895	ASI2	Nuclear; Perinuclear space	Helical			True		True
P53896	PGA1	Lumenal; Cytoplasmic	Helical		True	True		True
P53943	AQR1	Extracellular; Cytoplasmic	Helical			True		True
P53950	VAC7	Cytoplasmic; Vacuolar	Helical; Signal-anchor for type II membrane protein			True		True
P53954	ALG11	Lumenal; Cytoplasmic	Helical	Helical		True	True	True
P53983	ASI3	Perinuclear space; Nuclear	Helical			True		True
P54070	KTR6	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
P54074	ASI1	Perinuclear space; Nuclear	Helical			True		True
P54781	ERG5		Helical			True
P54837	ERV25	Lumenal; Cytoplasmic	Helical		True	True		True
P54854	HXT15	Cytoplasmic; Extracellular	Helical			True		True
P54862	HXT11	Cytoplasmic; Extracellular	Helical			True		True
P54867	SLG1	Extracellular; Cytoplasmic	Helical		True	True		True
P61829	OLI1		Helical			True
P62651	ERI1		Helical			True
P80667	PEX13	Lumenal; Cytoplasmic	Helical			True		True
P80967	TOM5	Cytoplasmic	Helical; Signal-anchor for type II membrane protein			True		True
P81450	ATP18		Helical			True
Q01589	SED1				True
Q01590	SED5	Cytoplasmic	Helical; Anchor for type IV membrane protein			True		True
Q01896	ENA2	Cytoplasmic; Extracellular	Helical			True		True
