id	Topological domain	Transmembrane	Intramembrane	Signal peptide	has_signal	has_transmem	has_intramem	has_topo_dom
O04619		Helical			False	True	False	False
O04714	Extracellular; Cytoplasmic	Helical			False	True	False	True
O04846					True	False	False	False
O04928		Helical			False	True	False	False
O22049		Helical			False	True	False	False
O22149					True	False	False	False
O22203		Helical			False	True	False	False
O22208	Cytoplasmic; Lumenal	Helical			False	True	False	True
O22213					True	False	False	False
O22218	Cytoplasmic; Lumenal	Helical			False	True	False	True
O22263					True	False	False	False
O22267	Cytoplasmic; Extracellular	Helical			False	True	False	True
O22476		Helical			True	True	False	False
O22752	Extracellular; Cytoplasmic	Helical			False	True	False	True
O22755		Helical			False	True	False	False
O22775	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
O22784	Extracellular; Cytoplasmic	Helical			True	True	False	True
O22833	Extracellular; Cytoplasmic	Helical			True	True	False	True
O22854					False	False	True	False
O22943	Cytoplasmic; Lumenal	Helical			False	True	False	True
O22993		Helical			False	True	False	False
O23044					True	False	False	False
O23051		Helical			False	True	False	False
O23066		Helical			False	True	False	False
O23144		Helical			False	True	False	False
O23147					True	False	False	False
O23349					True	False	False	False
O23373		Helical			True	True	False	False
O23474					True	False	False	False
O23507					True	False	False	False
O23680		Helical			False	True	False	False
O48528		Helical			False	True	False	False
O48538	Cytoplasmic; Extracellular	Helical			False	True	False	True
O48711					True	False	False	False
O48849	Extracellular; Cytoplasmic	Helical			True	True	False	True
O48915					True	False	False	False
O48946	Cytoplasmic; Extracellular	Helical			False	True	False	True
O48947	Cytoplasmic; Extracellular	Helical			False	True	False	True
O49006					True	False	False	False
O49342		Helical			False	True	False	False
O49394		Helical			False	True	False	False
O49434					True	False	False	False
O49447		Helical			False	True	False	False
O49519					True	False	False	False
O49545	Extracellular; Cytoplasmic	Helical			True	True	False	True
O49660		Helical			False	True	False	False
O49668	Stromal; Lumenal, thylakoid	Helical			False	True	False	True
O49696		Helical			False	True	False	False
O64425		Helical; Anchor for type IV membrane protein			False	True	False	False
O64471		Helical			False	True	False	False
O64474	Cytoplasmic; Extracellular	Helical			False	True	False	True
O64483	Extracellular; Cytoplasmic	Helical			True	True	False	True
O64495					True	False	False	False
O64503		Helical			False	True	False	False
O64614	Cytoplasmic; Lumenal	Helical			False	True	False	True
O64743					True	False	False	False
O64763		Helical			True	True	False	False
O64782	Extracellular; Cytoplasmic	Helical			True	True	False	True
O64784	Extracellular; Cytoplasmic	Helical			True	True	False	True
O64825	Extracellular; Cytoplasmic	Helical			True	True	False	True
O64865					True	False	False	False
O64879					True	False	False	False
O64884	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
O64989		Helical			False	True	False	False
O65272	Stromal; Chloroplast intermembrane	Helical			False	True	False	True
O65351					True	False	False	False
O65355					True	False	False	False
O65359	Cytoplasmic	Helical; Anchor for type IV membrane protein			False	True	False	True
O65375					True	False	False	False
O65390					True	False	False	False
O65440	Extracellular; Cytoplasmic	Helical			True	True	False	True
O65479	Extracellular; Cytoplasmic	Helical			True	True	False	True
O65493					True	False	False	False
O65660					True	False	False	False
O65677		Helical			False	True	False	False
O65717	Cytoplasmic; Extracellular	Helical			False	True	False	True
O65718	Cytoplasmic; Extracellular	Helical			False	True	False	True
O65782		Helical			False	True	False	False
O80434					True	False	False	False
O80452		Helical			False	True	False	False
O80460					True	False	False	False
O80565	Cytoplasmic; Chloroplast intermembrane	Beta stranded			False	True	False	True
O80605	Cytoplasmic; Extracellular	Helical			False	True	False	True
O80612	Cytoplasmic; Extracellular	Helical			False	True	False	True
O80632	Cytoplasmic; Vacuolar	Helical			False	True	False	True
O80722					True	False	False	False
O80725		Helical			False	True	False	False
O80803					True	False	False	False
O80809	Extracellular; Cytoplasmic	Helical			True	True	False	True
O80822					True	False	False	False
O80823		Helical			False	True	False	False
O80845	Cytoplasmic; Lumenal	Helical			False	True	False	True
O80860	Lumenal, thylakoid; Stromal	Helical			False	True	False	True
O80885		Helical			False	True	False	False
O80912					True	False	False	False
O80939	Extracellular; Cytoplasmic	Helical			True	True	False	True
O80952		Helical			False	True	False	False
O80963	Extracellular; Cytoplasmic	Helical			True	True	False	True
O80977	Lumenal; Cytoplasmic	Helical			True	True	False	True
O80983		Helical			False	True	False	False
O81045	Lumenal; Cytoplasmic	Helical			True	True	False	True
O81062	Lumenal; Cytoplasmic	Helical			False	True	False	True
O81069	Extracellular; Cytoplasmic	Helical			True	True	False	True
O81077		Helical			False	True	False	False
O81081					True	False	False	False
O81108	Cytoplasmic; Lumenal	Helical			False	True	False	True
O81208	Stromal; Lumenal	Helical			False	True	False	True
O81210	Cytoplasmic; Extracellular	Helical			False	True	False	True
O81283		Helical			False	True	False	False
O81291	Extracellular; Cytoplasmic	Helical			True	True	False	True
O81346		Helical			False	True	False	False
O81417					True	False	False	False
O81775	Extracellular; Cytoplasmic	Helical			False	True	False	True
O81833	Extracellular; Cytoplasmic	Helical			True	True	False	True
O81845		Helical			False	True	False	False
O81862					True	False	False	False
O81905	Extracellular; Cytoplasmic	Helical			True	True	False	True
O82226	Cytoplasmic; Extracellular	Helical			False	True	False	True
O82245		Helical			False	True	False	False
O82318	Extracellular; Cytoplasmic	Helical			True	True	False	True
O82390		Helical			False	True	False	False
O82587	Extracellular; Cytoplasmic	Helical			False	True	False	True
O82811		Helical			False	True	False	False
P04778		Helical			False	True	False	False
P0C5E2	Extracellular; Cytoplasmic	Helical			True	True	False	True
P0CJ48		Helical			False	True	False	False
P0CW78	Cytoplasmic; Extracellular	Helical			False	True	False	True
P0DH86	Extracellular; Cytoplasmic	Helical			True	True	False	True
P0DI10					True	False	False	False
P0DKC5		Helical; Signal-anchor for type II membrane protein			False	True	False	False
P0DKC6		Helical; Signal-anchor for type II membrane protein			False	True	False	False
P0DKI0		Helical			False	True	False	False
P0DO44		Helical			False	True	False	False
P14891		Helical			False	True	False	False
P15455					True	False	False	False
P15456					True	False	False	False
P19171					True	False	False	False
P19172					True	False	False	False
P19456	Cytoplasmic; Extracellular	Helical			False	True	False	True
P20431	Cytoplasmic; Extracellular	Helical			False	True	False	True
P20649	Cytoplasmic; Extracellular	Helical			False	True	False	True
P24101					True	False	False	False
P24102					True	False	False	False
P24806					True	False	False	False
P25818	Cytoplasmic; Vacuolar	Helical			False	True	False	True
P27521		Helical			False	True	False	False
P29402	Lumenal; Cytoplasmic	Helical			True	True	False	True
P30302	Cytoplasmic; Extracellular	Helical			False	True	False	True
P31167		Helical			False	True	False	False
P31414	Intravacuolar; Cytoplasmic	Helical			False	True	False	True
P32746		Helical			False	True	False	False
P33157					True	False	False	False
P33487					True	False	False	False
P37702					True	False	False	False
P40941		Helical			False	True	False	False
P42792	Mitochondrial matrix; Mitochondrial intermembrane	Helical			False	True	False	True
P42813					True	False	False	False
P42814					True	False	False	False
P43082					True	False	False	False
P43256		Helical			False	True	False	False
P43286	Cytoplasmic; Extracellular	Helical			False	True	False	True
P43287	Cytoplasmic; Extracellular	Helical			False	True	False	True
P43296					True	False	False	False
P43297					True	False	False	False
P43298	Extracellular; Cytoplasmic	Helical			True	True	False	True
P46014	Extracellular; Cytoplasmic	Helical			False	True	False	True
P46032		Helical			False	True	False	False
P46310		Helical			False	True	False	False
P46313		Helical			False	True	False	False
P46690					True	False	False	False
P47192	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			False	True	False	True
P47735	Extracellular; Cytoplasmic	Helical			True	True	False	True
P48421		Helical			False	True	False	False
P48622		Helical			False	True	False	False
P49333		Helical			False	True	False	False
P49599		Helical			False	True	False	False
P54144		Helical			False	True	False	False
P54968					True	False	False	False
P54970					True	False	False	False
P56761		Helical			False	True	False	False
P56766		Helical			False	True	False	False
P56778		Helical			False	True	False	False
P56780		Helical			False	True	False	False
P61837	Cytoplasmic; Extracellular	Helical			False	True	False	True
P82805	Cytoplasmic; Mitochondrial intermembrane	Helical			False	True	False	True
P82873	Cytoplasmic; Mitochondrial intermembrane	Helical			False	True	False	True
P82874	Cytoplasmic; Mitochondrial intermembrane	Helical			False	True	False	True
P83755		Helical			False	True	False	False
P92934	Cytoplasmic; Extracellular	Helical			False	True	False	True
P92939	Cytoplasmic; Lumenal	Helical			False	True	False	True
P92941		Helical			False	True	False	False
P92949	Cytoplasmic; Extracellular	Helical			False	True	False	True
P92960	Cytoplasmic; Extracellular	Helical; Helical; Voltage-sensor	Pore-forming		False	True	True	True
P92990					True	False	False	False
P92994		Helical			False	True	False	False
P93004	Cytoplasmic; Extracellular	Helical			False	True	False	True
P93026	Lumenal; Cytoplasmic	Helical			True	True	False	True
P93030		Helical; Anchor for type IV membrane protein			False	True	False	False
P93042	Cytoplasmic; Lumenal	Helical			False	True	False	True
P93046					True	False	False	False
P93654	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			False	True	False	True
P93735		Helical			False	True	False	False
P93825		Helical			False	True	False	False
P93834		Helical			False	True	False	False
P94040					True	False	False	False
P94072					True	False	False	False
P98204	Cytoplasmic; Extracellular	Helical			False	True	False	True
P98205	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q01667		Helical			False	True	False	False
Q05085		Helical			False	True	False	False
Q058G9					True	False	False	False
Q058N4		Helical			False	True	False	False
Q06611	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q06915					True	False	False	False
Q06BH3	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q07473		Helical			False	True	False	False
Q07488					True	False	False	False
Q08298					True	False	False	False
Q08466					True	False	False	False
Q08467					True	False	False	False
Q08733	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q0PW40	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q0WL80					True	False	False	False
Q0WML0		Helical			False	True	False	False
Q0WNY5	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q0WP36		Helical			False	True	False	False
Q0WPA5	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q0WPN7	Cytoplasmic; Lumenal	Helical			False	True	False	True
Q0WPQ2		Helical			False	True	False	False
Q0WQG8		Helical			False	True	False	False
Q0WRJ2	Lumenal; Cytoplasmic	Helical			False	True	False	True
Q0WS06		Helical			False	True	False	False
Q0WSX8		Helical			False	True	False	False
Q0WT48	Lumenal; Cytoplasmic	Helical			False	True	False	True
Q0WUA3		Helical			False	True	False	False
Q0WUG6	Lumenal; Cytoplasmic	Helical			True	True	False	True
Q0WV13	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q0WVM4	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q0WW17		Helical			False	True	False	False
Q15KI9		Helical			False	True	False	False
Q1ACB3		Helical			False	True	False	False
Q1EBV7		Helical			False	True	False	False
Q1EC69		Helical			False	True	False	False
Q1JPL7					True	False	False	False
Q1KPV0	Stromal; Chloroplast intermembrane	Helical			False	True	False	True
Q1PDW5	Lumenal, thylakoid; Stromal	Helical			False	True	False	True
Q1PET6		Helical			False	True	False	False
Q1PEY6					True	False	False	False
Q24JN5	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q2V3I3					True	False	False	False
Q2V4E2					True	False	False	False
Q33884		Helical			False	True	False	False
Q37145	Stromal; Lumenal	Helical			False	True	False	True
Q38846		Helical			False	True	False	False
Q38849	Cytoplasmic; Extracellular	Helical; Helical; Voltage-sensor	Pore-forming		False	True	True	True
Q38856	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q38857					True	False	False	False
Q38858					True	False	False	False
Q38860		Helical			False	True	False	False
Q38890	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q38898	Cytoplasmic; Extracellular	Helical; Helical; Voltage-sensor	Pore-forming		False	True	True	True
Q38906		Helical			False	True	False	False
Q38909					True	False	False	False
Q38911					True	False	False	False
Q38913					True	False	False	False
Q38932		Helical			False	True	False	False
Q38944		Helical			False	True	False	False
Q38954		Helical			False	True	False	False
Q38967	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q38998	Cytoplasmic; Extracellular	Helical; Helical; Voltage-sensor	Pore-forming		False	True	True	True
Q39034					True	False	False	False
Q39041	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q39043					True	False	False	False
Q39044					True	False	False	False
Q39085	Lumenal; Cytoplasmic	Helical; Signal-anchor			False	True	False	True
Q39086	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q39099					True	False	False	False
Q39102		Helical			False	True	False	False
Q39119					True	False	False	False
Q39128	Cytoplasmic; Extracellular	Helical; Helical; Voltage-sensor	Pore-forming		False	True	True	True
Q39134	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q39176					True	False	False	False
Q39191	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q39203	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q39208		Helical			False	True	False	False
Q39219		Helical			False	True	False	False
Q39231	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q39232	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q39233	Cytoplasmic	Helical; Anchor for type IV membrane protein			False	True	False	True
Q39253	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q39254	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q3B724	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q3E7D0		Helical			False	True	False	False
Q3E880					True	False	False	False
Q3E8W4	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q3E991	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q3EBF7		Helical			False	True	False	False
Q3EBM6					True	False	False	False
Q3ECH9					True	False	False	False
Q3ECJ5					True	False	False	False
Q3ECM0					True	False	False	False
Q3ECR7		Helical			False	True	False	False
Q3ECS3					True	False	False	False
Q3EDG5	Lumenal; Cytoplasmic	Helical			True	True	False	True
Q3KTM0		Helical			False	True	False	False
Q41951	Cytoplasmic; Vacuolar	Helical			False	True	False	True
Q41963	Cytoplasmic; Vacuolar	Helical			False	True	False	True
Q42093		Helical			False	True	False	False
Q42342		Helical			False	True	False	False
Q42371	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q42374	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			False	True	False	True
Q42400	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q42525		Helical			False	True	False	False
Q42556	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q42564		Helical			False	True	False	False
Q42569		Helical			False	True	False	False
Q42578					True	False	False	False
Q42580					True	False	False	False
Q42593		Helical			False	True	False	False
Q43128	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q43348	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q43387					True	False	False	False
Q43729					True	False	False	False
Q43731					True	False	False	False
Q43735					True	False	False	False
Q43866					True	False	False	False
Q43867					True	False	False	False
Q43872					True	False	False	False
Q43873					True	False	False	False
Q4F883		Helical			True	True	False	False
Q4V398		Helical; Signal-anchor for type II membrane protein			False	True	False	False
Q4V3D2					True	False	False	False
Q4VCM1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q4VP08					True	False	False	False
Q500W7	Cytoplasmic; Lumenal	Helical			False	True	False	True
Q501D8		Helical			False	True	False	False
Q52T38	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q56X46		Helical			False	True	False	False
Q56X52		Helical			False	True	False	False
Q56XP4	Cytoplasmic; Vacuolar	Helical	Helical		False	True	True	True
Q56Y01		Helical			False	True	False	False
Q56ZN6		Helical			False	True	False	False
Q56ZQ3	Lumenal; Cytoplasmic	Helical			True	True	False	True
Q570B4		Helical			False	True	False	False
Q570K8					True	False	False	False
Q5KS41	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q5MFV8					True	False	False	False
Q5PP23	Lumenal; Cytoplasmic	Helical			True	True	False	True
Q5XEP9		Helical			False	True	False	False
Q5XEZ1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q5XEZ5	Extracellular; Cytoplasmic	Helical			False	True	False	True
Q5XF51					True	False	False	False
Q5XV40		Helical			False	True	False	False
Q5XVI1		Helical			False	True	False	False
Q66GN2	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q66GQ5		Helical			False	True	False	False
Q67Z07					True	False	False	False
Q67ZE1		Helical			False	True	False	False
Q67ZM7		Helical			False	True	False	False
Q680I5					True	False	False	False
Q681I0		Helical			False	True	False	False
Q681K7	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q68KI4	Cytoplasmic; Vacuolar	Helical	Helical		False	True	True	True
Q6DBD7	Cytoplasmic; Lumenal	Helical			False	True	False	True
Q6DBG8	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q6DBH0		Helical			False	True	False	False
Q6DSU1					True	False	False	False
Q6ID76					True	False	False	False
Q6IMT1					True	False	False	False
Q6IWA9					True	False	False	False
Q6NKS4		Helical			False	True	False	False
Q6NKW9					True	False	False	False
Q6NLA5		Helical			False	True	False	False
Q6NM73	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q6NMD6		Helical			False	True	False	False
Q6NNL3					True	False	False	False
Q6NPN4					True	False	False	False
Q6NQA8	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q6NQI8		Helical			False	True	False	False
Q6NQL6		Helical			False	True	False	False
Q6NQN8					True	False	False	False
Q6R2K1	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q6R2K3	Cytoplasmic; Extracellular	Helical			True	True	False	True
Q6R8G6	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q6S5G3		Helical			False	True	False	False
Q6X5V0		Helical			False	True	False	False
Q6XAT2	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q6XBF8					True	False	False	False
Q71DJ5					True	False	False	False
Q7DM58		Helical			False	True	False	False
Q7DMA9		Helical; Anchor for type IV membrane protein			False	True	False	False
Q7EB72					True	False	False	False
Q7FK82	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q7GB25		Helical			False	True	False	False
Q7PC88		Helical			False	True	False	False
Q7X6P3		Helical			False	True	False	False
Q7X8C5	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q7XA74					True	False	False	False
Q7XA86		Helical			False	True	False	False
Q7XJ98	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q7XJL2	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q7XXN8		Helical			False	True	False	False
Q7XZF5		Helical			False	True	False	False
Q7XZP5		Helical			False	True	False	False
Q7Y208	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q84J37					True	False	False	False
Q84J95					True	False	False	False
Q84JA6	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q84JQ4		Helical			True	True	False	False
Q84JW1	Cytoplasmic; Lumenal	Helical			False	True	False	True
Q84K00		Helical			False	True	False	False
Q84MA8		Helical			False	True	False	False
Q84MB5	Stromal; Chloroplast intermembrane	Helical			False	True	False	True
Q84TH5		Helical			False	True	False	False
Q84TI7	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q84V22	Mitochondrial matrix; Mitochondrial intermembrane	Helical			False	True	False	True
Q84VQ4		Helical			False	True	False	False
Q84W41	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q84W98					True	False	False	False
Q84WB7		Helical			False	True	False	False
Q84WM7					True	False	False	False
Q84WN3	Vacuolar; Cytoplasmic	Helical			False	True	False	True
Q84WV9	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q84XU2		Helical			False	True	False	False
Q8GRX1					True	False	False	False
Q8GSJ6		Helical			False	True	False	False
Q8GUJ2	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q8GUK1		Helical			False	True	False	False
Q8GUK7		Helical; Anchor for type IV membrane protein			False	True	False	False
Q8GUM3	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q8GV50					True	False	False	False
Q8GW19		Helical			False	True	False	False
Q8GWA7	Chloroplast intermembrane; Stromal	Helical			False	True	False	True
Q8GWB7		Helical			False	True	False	False
Q8GWD2	Cytoplasmic; Extracellular	Helical			False	True	False	True
Q8GWG0	Cytoplasmic	Helical			False	True	False	True
Q8GWH3					True	False	False	False
Q8GWJ7	Extracellular; Cytoplasmic	Helical			True	True	False	True
Q8GWR0	Mitochondrial matrix; Mitochondrial intermembrane	Helical			False	True	False	True
Q8GWT1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
Q8GWW4		Helical; Signal-anchor for type II membrane protein			False	True	False	False
Q8GWW6					True	False	False	False
